crop,issue_type,issue_id,symptoms,first_action,organic_option
maize,disease,rust,Typical rust signs on maize,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
maize,disease,blast,Typical blast signs on maize,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sugarcane,pest,aphids,Typical aphids signs on sugarcane,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sugarcane,pest,whitefly,Typical whitefly signs on sugarcane,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sugarcane,pest,bollworm,Typical bollworm signs on sugarcane,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sugarcane,pest,thrips,Typical thrips signs on sugarcane,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sugarcane,disease,leaf_spot,Typical leaf_spot signs on sugarcane,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sugarcane,disease,rust,Typical rust signs on sugarcane,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sugarcane,disease,blast,Typical blast signs on sugarcane,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
groundnut,pest,aphids,Typical aphids signs on groundnut,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
groundnut,pest,whitefly,Typical whitefly signs on groundnut,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
groundnut,pest,bollworm,Typical bollworm signs on groundnut,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
groundnut,pest,thrips,Typical thrips signs on groundnut,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
groundnut,disease,leaf_spot,Typical leaf_spot signs on groundnut,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
groundnut,disease,rust,Typical rust signs on groundnut,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
groundnut,disease,blast,Typical blast signs on groundnut,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
groundnut,pest,aphids,Typical aphids signs on groundnut,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
groundnut,pest,whitefly,Typical whitefly signs on groundnut,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
groundnut,pest,bollworm,Typical bollworm signs on groundnut,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
groundnut,pest,thrips,Typical thrips signs on groundnut,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
groundnut,disease,leaf_spot,Typical leaf_spot signs on groundnut,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
groundnut,disease,rust,Typical rust signs on groundnut,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
groundnut,disease,blast,Typical blast signs on groundnut,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chilli,pest,aphids,Typical aphids signs on chilli,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chilli,pest,whitefly,Typical whitefly signs on chilli,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chilli,pest,bollworm,Typical bollworm signs on chilli,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chilli,pest,thrips,Typical thrips signs on chilli,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chilli,disease,leaf_spot,Typical leaf_spot signs on chilli,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chilli,disease,rust,Typical rust signs on chilli,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chilli,disease,blast,Typical blast signs on chilli,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chilli,pest,aphids,Typical aphids signs on chilli,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chilli,pest,whitefly,Typical whitefly signs on chilli,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chilli,pest,bollworm,Typical bollworm signs on chilli,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chilli,pest,thrips,Typical thrips signs on chilli,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chilli,disease,leaf_spot,Typical leaf_spot signs on chilli,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chilli,disease,rust,Typical rust signs on chilli,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chilli,disease,blast,Typical blast signs on chilli,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
onion,pest,aphids,Typical aphids signs on onion,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
onion,pest,whitefly,Typical whitefly signs on onion,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
onion,pest,bollworm,Typical bollworm signs on onion,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
onion,pest,thrips,Typical thrips signs on onion,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
onion,disease,leaf_spot,Typical leaf_spot signs on onion,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
onion,disease,rust,Typical rust signs on onion,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
onion,disease,blast,Typical blast signs on onion,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
potato,pest,aphids,Typical aphids signs on potato,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
potato,pest,whitefly,Typical whitefly signs on potato,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
potato,pest,bollworm,Typical bollworm signs on potato,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
potato,pest,thrips,Typical thrips signs on potato,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
potato,disease,leaf_spot,Typical leaf_spot signs on potato,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
potato,disease,rust,Typical rust signs on potato,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
potato,disease,blast,Typical blast signs on potato,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
mustard,pest,aphids,Typical aphids signs on mustard,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
mustard,pest,whitefly,Typical whitefly signs on mustard,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
mustard,pest,bollworm,Typical bollworm signs on mustard,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
mustard,pest,thrips,Typical thrips signs on mustard,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
mustard,disease,leaf_spot,Typical leaf_spot signs on mustard,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
mustard,disease,rust,Typical rust signs on mustard,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
mustard,disease,blast,Typical blast signs on mustard,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sunflower,pest,aphids,Typical aphids signs on sunflower,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sunflower,pest,whitefly,Typical whitefly signs on sunflower,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sunflower,pest,bollworm,Typical bollworm signs on sunflower,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sunflower,pest,thrips,Typical thrips signs on sunflower,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sunflower,disease,leaf_spot,Typical leaf_spot signs on sunflower,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sunflower,disease,rust,Typical rust signs on sunflower,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sunflower,disease,blast,Typical blast signs on sunflower,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
bajra,pest,aphids,Typical aphids signs on bajra,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
bajra,pest,whitefly,Typical whitefly signs on bajra,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
bajra,pest,bollworm,Typical bollworm signs on bajra,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
bajra,pest,thrips,Typical thrips signs on bajra,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
bajra,disease,leaf_spot,Typical leaf_spot signs on bajra,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
bajra,disease,rust,Typical rust signs on bajra,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
bajra,disease,blast,Typical blast signs on bajra,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pearl_millet,pest,aphids,Typical aphids signs on pearl_millet,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pearl_millet,pest,whitefly,Typical whitefly signs on pearl_millet,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pearl_millet,pest,bollworm,Typical bollworm signs on pearl_millet,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pearl_millet,pest,thrips,Typical thrips signs on pearl_millet,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pearl_millet,disease,leaf_spot,Typical leaf_spot signs on pearl_millet,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pearl_millet,disease,rust,Typical rust signs on pearl_millet,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pearl_millet,disease,blast,Typical blast signs on pearl_millet,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
jowar,pest,aphids,Typical aphids signs on jowar,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
jowar,pest,whitefly,Typical whitefly signs on jowar,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
jowar,pest,bollworm,Typical bollworm signs on jowar,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
jowar,pest,thrips,Typical thrips signs on jowar,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
jowar,disease,leaf_spot,Typical leaf_spot signs on jowar,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
jowar,disease,rust,Typical rust signs on jowar,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
jowar,disease,blast,Typical blast signs on jowar,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sorghum,pest,aphids,Typical aphids signs on sorghum,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sorghum,pest,whitefly,Typical whitefly signs on sorghum,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sorghum,pest,bollworm,Typical bollworm signs on sorghum,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sorghum,pest,thrips,Typical thrips signs on sorghum,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sorghum,disease,leaf_spot,Typical leaf_spot signs on sorghum,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sorghum,disease,rust,Typical rust signs on sorghum,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
sorghum,disease,blast,Typical blast signs on sorghum,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chickpea,pest,aphids,Typical aphids signs on chickpea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chickpea,pest,whitefly,Typical whitefly signs on chickpea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chickpea,pest,bollworm,Typical bollworm signs on chickpea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chickpea,pest,thrips,Typical thrips signs on chickpea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chickpea,disease,leaf_spot,Typical leaf_spot signs on chickpea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chickpea,disease,rust,Typical rust signs on chickpea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chickpea,disease,blast,Typical blast signs on chickpea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chickpea,pest,aphids,Typical aphids signs on chickpea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chickpea,pest,whitefly,Typical whitefly signs on chickpea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chickpea,pest,bollworm,Typical bollworm signs on chickpea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chickpea,pest,thrips,Typical thrips signs on chickpea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chickpea,disease,leaf_spot,Typical leaf_spot signs on chickpea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chickpea,disease,rust,Typical rust signs on chickpea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
chickpea,disease,blast,Typical blast signs on chickpea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
lentil,pest,aphids,Typical aphids signs on lentil,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
lentil,pest,whitefly,Typical whitefly signs on lentil,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
lentil,pest,bollworm,Typical bollworm signs on lentil,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
lentil,pest,thrips,Typical thrips signs on lentil,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
lentil,disease,leaf_spot,Typical leaf_spot signs on lentil,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
lentil,disease,rust,Typical rust signs on lentil,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
lentil,disease,blast,Typical blast signs on lentil,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
moong,pest,aphids,Typical aphids signs on moong,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
moong,pest,whitefly,Typical whitefly signs on moong,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
moong,pest,bollworm,Typical bollworm signs on moong,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
moong,pest,thrips,Typical thrips signs on moong,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
moong,disease,leaf_spot,Typical leaf_spot signs on moong,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
moong,disease,rust,Typical rust signs on moong,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
moong,disease,blast,Typical blast signs on moong,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
urad,pest,aphids,Typical aphids signs on urad,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
urad,pest,whitefly,Typical whitefly signs on urad,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
urad,pest,bollworm,Typical bollworm signs on urad,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
urad,pest,thrips,Typical thrips signs on urad,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
urad,disease,leaf_spot,Typical leaf_spot signs on urad,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
urad,disease,rust,Typical rust signs on urad,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
urad,disease,blast,Typical blast signs on urad,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pigeon pea,pest,aphids,Typical aphids signs on pigeon pea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pigeon pea,pest,whitefly,Typical whitefly signs on pigeon pea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pigeon pea,pest,bollworm,Typical bollworm signs on pigeon pea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pigeon pea,pest,thrips,Typical thrips signs on pigeon pea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pigeon pea,disease,leaf_spot,Typical leaf_spot signs on pigeon pea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pigeon pea,disease,rust,Typical rust signs on pigeon pea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pigeon pea,disease,blast,Typical blast signs on pigeon pea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pigeon_pea,pest,aphids,Typical aphids signs on pigeon_pea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pigeon_pea,pest,whitefly,Typical whitefly signs on pigeon_pea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pigeon_pea,pest,bollworm,Typical bollworm signs on pigeon_pea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pigeon_pea,pest,thrips,Typical thrips signs on pigeon_pea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pigeon_pea,disease,leaf_spot,Typical leaf_spot signs on pigeon_pea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pigeon_pea,disease,rust,Typical rust signs on pigeon_pea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
pigeon_pea,disease,blast,Typical blast signs on pigeon_pea,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
banana,pest,aphids,Typical aphids signs on banana,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
banana,pest,whitefly,Typical whitefly signs on banana,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
banana,pest,bollworm,Typical bollworm signs on banana,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
banana,pest,thrips,Typical thrips signs on banana,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
banana,disease,leaf_spot,Typical leaf_spot signs on banana,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
banana,disease,rust,Typical rust signs on banana,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
banana,disease,blast,Typical blast signs on banana,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
mango,pest,aphids,Typical aphids signs on mango,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
mango,pest,whitefly,Typical whitefly signs on mango,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
mango,pest,bollworm,Typical bollworm signs on mango,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
mango,pest,thrips,Typical thrips signs on mango,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
mango,disease,leaf_spot,Typical leaf_spot signs on mango,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
mango,disease,rust,Typical rust signs on mango,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
mango,disease,blast,Typical blast signs on mango,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
grapes,pest,aphids,Typical aphids signs on grapes,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
grapes,pest,whitefly,Typical whitefly signs on grapes,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
grapes,pest,bollworm,Typical bollworm signs on grapes,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
grapes,pest,thrips,Typical thrips signs on grapes,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
grapes,disease,leaf_spot,Typical leaf_spot signs on grapes,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
grapes,disease,rust,Typical rust signs on grapes,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
grapes,disease,blast,Typical blast signs on grapes,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
apple,pest,aphids,Typical aphids signs on apple,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
apple,pest,whitefly,Typical whitefly signs on apple,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
apple,pest,bollworm,Typical bollworm signs on apple,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
apple,pest,thrips,Typical thrips signs on apple,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
apple,disease,leaf_spot,Typical leaf_spot signs on apple,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
apple,disease,rust,Typical rust signs on apple,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
apple,disease,blast,Typical blast signs on apple,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
citrus,pest,aphids,Typical aphids signs on citrus,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
citrus,pest,whitefly,Typical whitefly signs on citrus,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
citrus,pest,bollworm,Typical bollworm signs on citrus,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
citrus,pest,thrips,Typical thrips signs on citrus,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
citrus,disease,leaf_spot,Typical leaf_spot signs on citrus,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
citrus,disease,rust,Typical rust signs on citrus,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
citrus,disease,blast,Typical blast signs on citrus,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
orange,pest,aphids,Typical aphids signs on orange,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
orange,pest,whitefly,Typical whitefly signs on orange,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
orange,pest,bollworm,Typical bollworm signs on orange,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
